# Plastic,NetStation,Replicate,Type,Length,Colour,PolymerType
224,37,3,Hard,0.91,White/Transparent,NA
225,37,3,Hard,1.14,Blue,NA
226,37,3,Hard,2.5,White/Transparent,NA
227,37,3,Line,4.55,Green,NA
228,37,3,Hard,2.73,Green,Polyethylene
229,38,1,Hard,5.3,White/Transparent,Polyethylene
230,38,1,Hard,4,White/Transparent,NA
231,38,1,Hard,2,White/Transparent,NA
232,38,1,Hard,4,Gray,NA
233,38,1,Styrofoam,2,White/Transparent,NA
234,38,1,Styrofoam,1.33,White/Transparent,NA
235,38,2,Hard,3.33,White/Transparent,NA
236,38,2,Line,6.67,White/Transparent,NA
237,39,1,Soft,33.68,White/Transparent,Polypropylene
238,39,1,Soft,3.16,White/Transparent,NA
239,39,3,Line,4.55,Green,Polypropylene
240,39,3,Hard,2.73,White/Transparent,NA
241,39,3,Hard,2.4,White/Transparent,Polyethylene
242,39,2,Line,81.43,Yellow,NA
243,39,2,Line,5,White/Transparent,NA
244,39,2,Hard,3.57,White/Transparent,NA
245,39,2,Hard,1.07,White/Transparent,NA
246,15,1,Hard,1.4,White/Transparent,NA
247,15,2,Hard,2.86,White/Transparent,NA
248,15,2,Hard,1.71,White/Transparent,Polyethylene
249,15,2,Hard,2.86,White/Transparent,Polypropylene
250,15,2,Soft,7.71,Green,NA
251,15,3,Hard,6.51,White/Transparent,NA
252,15,3,Hard,3.02,White/Transparent,NA
253,15,3,Hard,1.63,White/Transparent,NA
254,17,1,Soft,12.07,Yellow,NA
255,17,1,Hard,2.76,White/Transparent,NA
256,17,1,Hard,2.41,White/Transparent,NA
257,17,1,Hard,2.07,White/Transparent,NA
258,17,1,Hard,2.07,White/Transparent,Polyethylene
259,17,1,Hard,2.41,White/Transparent,NA
260,17,2,Soft,4.4,White/Transparent,NA
261,17,2,Line,4,Blue,NA
262,17,2,Soft,6.8,White/Transparent,NA
263,17,2,Hard,2,White/Transparent,NA
264,17,2,Hard,2,White/Transparent,NA
265,17,3,Soft,16.09,White/Transparent,NA
266,17,3,Soft,11.74,White/Transparent,NA
267,17,3,Line,19.57,White/Transparent,NA
268,17,3,Line,4.35,White/Transparent,NA
269,18,1,Hard,3.45,White/Transparent,NA
270,18,1,Hard,3.27,White/Transparent,NA
271,18,1,Hard,8,White/Transparent,NA
272,18,1,Hard,1.45,White/Transparent,Polypropylene
273,18,1,Soft,3.64,Blue,NA
274,18,1,Soft,2.91,White/Transparent,NA
275,18,1,Soft,9.45,Black,NA
276,18,2,Hard,1.6,White/Transparent,NA
277,18,2,Hard,3.6,White/Transparent,NA
278,18,2,Hard,4,White/Transparent,NA
279,18,2,Hard,4.8,Yellow,NA
280,18,2,Hard,2.4,White/Transparent,Polyethylene
281,18,2,Hard,4.4,White/Transparent,NA
282,18,2,Hard,2.8,White/Transparent,NA
283,18,2,Hard,1.6,White/Transparent,NA
284,18,2,Hard,2.4,White/Transparent,NA
285,18,2,Hard,2.8,White/Transparent,NA
286,18,2,Hard,2,White/Transparent,NA
287,18,2,Hard,1.4,Yellow,NA
288,18,2,Hard,1,Green,NA
289,18,2,Hard,2,Black,NA
290,18,2,Hard,1.6,Blue,NA
291,18,2,Hard,2.6,White/Transparent,NA
292,18,3,Hard,5.17,Blue,NA
293,18,3,Hard,3.1,White/Transparent,Polypropylene
294,18,3,Hard,3.1,Green,NA
295,18,3,Hard,2.07,White/Transparent,NA
296,18,3,Hard,5.17,Black,NA
297,18,3,Hard,3.45,White/Transparent,NA
298,19,1,Hard,1.74,White/Transparent,NA
299,19,1,Hard,1.74,White/Transparent,NA
300,19,1,Line,82.61,White/Transparent,NA
301,19,2,Hard,2.7,Blue,Polyethylene
302,19,2,Hard,2.71,White/Transparent,NA
303,19,2,Hard,1.02,White/Transparent,NA
304,19,2,Hard,1.19,Blue,Polypropylene
305,19,2,Hard,2.71,White/Transparent,NA
306,19,2,Hard,5.08,White/Transparent,NA
307,19,3,Hard,3.8,White/Transparent,Polyethylene
308,19,3,Hard,3.9,White/Transparent,Polyethylene
309,19,3,Hard,2.5,White/Transparent,Polystyrene
310,20,1,Hard,1.57,White/Transparent,Polyethylene
311,20,1,Hard,1.96,White/Transparent,Polypropylene
312,20,1,Hard,5.2,White/Transparent,Polyethylene
313,20,1,Hard,1.96,White/Transparent,NA
314,20,1,Hard,1.76,White/Transparent,NA
315,20,2,Hard,2.2,White/Transparent,NA
316,20,2,Hard,3.41,White/Transparent,Polyethylene
317,20,2,Hard,2.9,White/Transparent,Polyethylene
318,20,2,Hard,4.7,White/Transparent,Polyethylene
319,20,2,Hard,2.44,White/Transparent,NA
320,20,2,Hard,1.22,White/Transparent,NA
321,20,2,Hard,1.46,White/Transparent,NA
322,20,2,Hard,1.22,White/Transparent,Polyethylene
323,20,2,Hard,3.41,White/Transparent,NA
324,20,2,Hard,1.71,White/Transparent,NA
325,20,2,Hard,0.49,White/Transparent,NA
326,20,3,Hard,4.5,White/Transparent,Polyethylene
327,20,3,Hard,3,White/Transparent,Polyethylene
328,20,3,Hard,2.5,White/Transparent,NA
329,20,3,Hard,1.5,White/Transparent,NA
330,20,3,Hard,2,White/Transparent,Polyethylene
331,20,3,Hard,2,White/Transparent,NA
332,20,3,Hard,1.5,White/Transparent,NA
333,20,3,Hard,2.5,White/Transparent,NA
334,20,3,Hard,1,Blue,NA
335,20,3,Hard,5.4,White/Transparent,Polyethylene
336,20,3,Hard,1.5,White/Transparent,NA
337,20,3,Hard,0.75,White/Transparent,NA
338,20,3,Hard,1,White/Transparent,Polyethylene
339,20,3,Hard,2.5,White/Transparent,NA
340,20,3,Hard,0.75,Blue,NA
341,20,3,Hard,3.5,Gray,NA
342,20,3,Hard,2.5,Blue,NA
343,20,3,Hard,1.25,White/Transparent,NA
344,21,1,Line,12.57,Blue,Polyethylene
345,21,1,Hard,1.43,White/Transparent,Polypropylene
346,21,2,Hard,17.22,White/Transparent,Polyethylene
347,21,2,Hard,2.37,Orange,Polyethylene
348,21,3,Hard,1.23,White/Transparent,NA
349,21,3,Hard,1.7,White/Transparent,NA
350,22,1,Hard,3.25,White/Transparent,NA
351,22,1,Hard,1.25,White/Transparent,NA
352,22,2,Hard,2.3,Green,Polyethylene
353,22,2,Hard,1.79,White/Transparent,NA
354,22,2,Hard,1.9,Blue,Polyethylene
355,22,2,Hard,1.8,White/Transparent,Polyethylene
356,22,2,Hard,2.14,White/Transparent,NA
357,22,2,Hard,1.43,White/Transparent,NA
358,22,3,Line,46.67,Blue,NA
359,22,3,Hard,1.78,White/Transparent,NA
360,22,3,Hard,3.11,White/Transparent,NA
361,22,3,Hard,1.33,White/Transparent,NA
362,22,3,Hard,3.2,White/Transparent,Polyethylene
363,22,3,Hard,1.56,White/Transparent,NA
364,22,3,Hard,1.56,White/Transparent,NA
365,22,3,Hard,1.78,White/Transparent,Polyethylene
366,22,3,Hard,1.33,White/Transparent,NA
367,22,3,Hard,1.78,White/Transparent,NA
368,22,3,Hard,1.78,White/Transparent,NA
369,22,3,Hard,1.78,White/Transparent,NA
370,23,1,Hard,3.27,White/Transparent,NA
371,23,1,Hard,2.45,White/Transparent,NA
372,23,1,Hard,3.67,White/Transparent,NA
373,23,1,Hard,2.45,White/Transparent,NA
374,23,1,Hard,2.6,Purple,Polyethylene
375,23,1,Hard,1.22,White/Transparent,Polyethylene
376,23,1,Hard,1,White/Transparent,NA
377,23,2,Hard,3.9,White/Transparent,Polyethylene
378,23,2,Hard,3.46,White/Transparent,Polyethylene
379,23,2,Hard,0.58,White/Transparent,NA
380,23,2,Hard,2.31,White/Transparent,NA
381,23,2,Hard,1.54,White/Transparent,NA
382,23,3,Hard,4.14,Blue,NA
383,23,3,Hard,3.1,White/Transparent,NA
384,23,3,Hard,3.62,White/Transparent,NA
385,23,3,Hard,2.41,White/Transparent,NA
386,23,3,Hard,3.79,White/Transparent,NA
387,23,3,Hard,1.72,White/Transparent,Polyethylene
388,23,3,Hard,1.38,White/Transparent,NA
389,5,1,Hard,2,Blue,NA
390,5,1,Hard,2,Blue,Polyethylene
391,5,1,Hard,5,Blue,NA
392,5,1,Hard,5,Blue,NA
393,5,1,Line,24,Blue,Polypropylene
394,5,1,Hard,4.5,White/Transparent,Polyethylene
395,5,1,Hard,3,White/Transparent,NA
396,5,1,Hard,3,White/Transparent,Polyethylene
397,5,1,Hard,3,White/Transparent,NA
398,5,1,Hard,3,White/Transparent,NA
399,5,1,Hard,8,White/Transparent,NA
400,5,1,Hard,4,White/Transparent,NA
401,5,1,Hard,2,Green,NA
402,5,1,Hard,2,Blue,Polyethylene
403,5,1,Hard,6,Green,NA
404,5,1,Hard,7,White/Transparent,NA
405,5,1,Hard,1.5,White/Transparent,NA
406,5,1,Hard,2,White/Transparent,NA
407,5,1,Hard,1.5,White/Transparent,NA
408,5,1,Hard,1,White/Transparent,NA
409,5,1,Hard,1.5,White/Transparent,NA
410,5,1,Hard,2,White/Transparent,Polyethylene
411,5,1,Hard,2,White/Transparent,NA
412,5,1,Hard,5,Black,NA
413,5,1,Hard,3,White/Transparent,Polyethylene
414,5,1,Hard,4,White/Transparent,Polyethylene
415,5,1,Hard,1,Orange,NA
416,5,1,Hard,9,White/Transparent,NA
417,5,2,Hard,1.8,White/Transparent,Polyethylene
418,5,2,Hard,9,Blue,NA
419,5,2,Hard,10,White/Transparent,Polyethylene
420,5,2,Hard,3,White/Transparent,Polyethylene
421,5,2,Hard,6,White/Transparent,NA
422,5,2,Hard,4,White/Transparent,Polypropylene
423,5,2,Hard,2.8,White/Transparent,Polyethylene
424,5,2,Hard,4,Red,NA
425,5,2,Hard,3.2,White/Transparent,Polyethylene
426,5,2,Hard,3.3,White/Transparent,Polyethylene
427,5,2,Hard,2.6,White/Transparent,Polyethylene
428,5,2,Hard,3.5,White/Transparent,NA
429,5,2,Soft,6,White/Transparent,NA
430,5,2,Soft,8,White/Transparent,NA
431,5,2,Soft,5,White/Transparent,NA
432,5,2,Soft,7,White/Transparent,NA
433,5,2,Soft,6.5,White/Transparent,NA
434,5,2,Soft,4,White/Transparent,NA
435,5,2,Soft,3.5,White/Transparent,NA
436,5,2,Soft,15,White/Transparent,NA
437,5,2,Soft,8,White/Transparent,NA
438,5,2,Soft,4.5,White/Transparent,NA
439,5,2,Hard,2,Black,NA
440,5,2,Hard,1,Black,NA
441,5,2,Hard,4,Black,NA
442,5,2,Line,9,Black,NA
443,5,3,Hard,4.5,White/Transparent,NA
444,5,3,Hard,3,Black,NA
445,5,3,Hard,7,White/Transparent,NA
446,5,3,Soft,4,White/Transparent,NA
447,5,3,Hard,4,White/Transparent,NA
448,5,3,Hard,1,White/Transparent,NA
449,5,3,Hard,11,Red,NA
450,5,3,Hard,2,White/Transparent,NA
451,6,1,Hard,2.14,Blue,NA
452,6,1,Hard,2.14,Blue,NA
453,6,1,Hard,2.86,Blue,NA
454,6,1,Hard,2.86,Black,NA
455,6,1,Hard,1.43,Blue,NA
456,6,1,Hard,1.43,White/Transparent,NA
457,6,1,Hard,1.43,White/Transparent,NA
458,6,1,Line,18.57,Blue,NA
459,6,1,Hard,3.57,White/Transparent,NA
460,6,2,Line,15,White/Transparent,NA
461,6,2,Soft,3,White/Transparent,NA
462,7,1,Line,50,Green,NA
463,7,1,Hard,2.9,White/Transparent,Polyethylene
464,7,1,Hard,2.9,White/Transparent,Polyethylene
465,7,1,Soft,5.71,White/Transparent,NA
466,7,2,Hard,4.4,Blue,Ethylene Vinyl Acetate
467,7,2,Hard,3.7,White/Transparent,Polyethylene
468,7,2,Soft,7.5,White/Transparent,NA
469,7,2,Hard,6.25,Black,Polyethylene
470,7,3,Hard,6,White/Transparent,Polyethylene
471,7,3,Hard,3.5,White/Transparent,NA
472,7,3,Soft,5.45,White/Transparent,NA
473,7,3,Hard,3.64,White/Transparent,NA
474,8,1,Soft,4.62,Blue,NA
475,8,2,Hard,3,White/Transparent,NA
476,8,2,Hard,6,White/Transparent,NA
477,8,2,Soft,10,White/Transparent,NA
478,8,3,Soft,5,White/Transparent,NA
479,8,3,Soft,5,White/Transparent,NA
480,8,3,Soft,5,White/Transparent,NA
481,8,3,Hard,3.33,White/Transparent,NA
482,8,3,Soft,4.17,White/Transparent,NA
483,8,3,Soft,3.33,White/Transparent,NA
484,8,3,Soft,5,White/Transparent,NA
485,8,3,Hard,3.33,White/Transparent,NA
486,8,3,Soft,2.5,White/Transparent,NA
487,8,3,Hard,2.08,White/Transparent,NA
488,8,3,Soft,5,White/Transparent,NA
489,8,3,Soft,7.5,White/Transparent,NA
490,8,3,Hard,3.86,White/Transparent,Polyethylene
491,8,3,Soft,3.33,White/Transparent,NA
492,9,1,Hard,4.58,White/Transparent,NA
493,9,1,Soft,5,Red,NA
494,9,1,Line,25,White/Transparent,NA
495,9,1,Line,33.33,White/Transparent,NA
496,9,2,Pellet,3.83,White/Transparent,Polyethylene
497,9,2,Pellet,4,White/Transparent,NA
498,10,1,Hard,50,White/Transparent,NA
499,10,1,Hard,10,White/Transparent,NA
500,10,1,Hard,4,White/Transparent,Polyethylene
501,10,3,Hard,8,Black,NA
502,10,3,Hard,9,White/Transparent,NA
503,12,2,Soft,4.55,Blue,NA
504,12,3,Hard,11.33,White/Transparent,Polypropylene
505,13,1,Hard,5.59,Blue,NA
506,13,3,Line,12,Blue,NA
507,13,3,Line,20,White/Transparent,NA
508,14,1,Hard,2.5,Blue,Polypropylene
509,14,1,Line,4.24,Blue,NA
510,14,3,Hard,8.4,White/Transparent,Polyethylene
511,40,1,Hard,2.41,White/Transparent,NA
512,40,1,Hard,1.38,White/Transparent,NA
513,40,1,Hard,2.41,White/Transparent,NA
514,40,1,Hard,1.72,White/Transparent,NA
515,40,2,Hard,1.78,White/Transparent,NA
516,40,2,Hard,1.11,Blue,NA
517,40,2,Hard,2.7,White/Transparent,Polyethylene
518,40,2,Hard,0.89,White/Transparent,NA
519,40,2,Hard,1.33,White/Transparent,NA
520,40,2,Hard,0.89,White/Transparent,NA
521,40,2,Hard,2.67,White/Transparent,Polyethylene
522,40,2,Hard,2.22,White/Transparent,Polyethylene
523,40,2,Hard,1.33,White/Transparent,NA
524,40,2,Line,12,White/Transparent,Polyethylene
525,40,2,Hard,0.44,White/Transparent,NA
526,40,3,Hard,4.1,White/Transparent,NA
527,40,3,Hard,1.03,White/Transparent,NA
528,40,3,Hard,1.28,White/Transparent,NA
529,40,3,Hard,1.03,Blue,NA
530,40,3,Hard,1.28,White/Transparent,NA
531,40,3,Hard,2.31,White/Transparent,Polyethylene
532,40,3,Hard,1.54,White/Transparent,NA
533,40,3,Hard,1.03,Blue,NA
534,41,1,Hard,2.03,Blue,NA
535,41,1,Hard,1.36,Blue,Polyethylene
536,41,1,Hard,3.22,White/Transparent,NA
537,41,1,Hard,3.39,White/Transparent,Polypropylene
538,41,1,Hard,3.39,White/Transparent,Polyethylene
539,41,2,Hard,1.88,White/Transparent,NA
540,41,2,Hard,5.63,White/Transparent,NA
541,41,2,Hard,5.31,White/Transparent,Polypropylene
542,41,2,Hard,8,White/Transparent,Polyethylene
543,41,2,Hard,3.13,Green,NA
544,41,2,Hard,3.13,White/Transparent,NA
545,41,2,Hard,4.06,White/Transparent,NA
546,41,2,Hard,4.06,Green,NA
547,41,2,Hard,3.13,White/Transparent,NA
548,41,2,Styrofoam,3.13,White/Transparent,NA
549,41,2,Styrofoam,3.13,White/Transparent,NA
550,41,2,Styrofoam,3.13,White/Transparent,NA
551,41,3,Hard,2.76,White/Transparent,NA
552,41,3,Hard,2.76,White/Transparent,NA
553,41,3,Hard,2.41,White/Transparent,NA
554,41,3,Hard,1.38,White/Transparent,Polyethylene
555,41,3,Hard,1.72,White/Transparent,NA
556,41,3,Hard,3.45,White/Transparent,NA
557,41,3,Hard,2.76,White/Transparent,NA
558,41,3,Hard,1.72,White/Transparent,Polypropylene
559,41,3,Hard,1.38,White/Transparent,Polyethylene
560,41,3,Hard,1.72,White/Transparent,NA
561,41,3,Hard,3.1,White/Transparent,NA
562,41,3,Hard,1.03,White/Transparent,NA
563,41,3,Hard,2.76,White/Transparent,Polyethylene
564,41,3,Hard,2.07,White/Transparent,NA
565,41,3,Hard,1.38,White/Transparent,NA
566,41,3,Soft,13.08,White/Transparent,Polypropylene
567,41,3,Soft,15.69,White/Transparent,NA
568,41,3,Hard,3.92,White/Transparent,NA
569,41,3,Hard,2.62,White/Transparent,Polypropylene
570,41,3,Hard,2.62,Blue,NA
571,41,3,Hard,2.62,White/Transparent,NA
572,41,3,Hard,5.23,White/Transparent,NA
573,41,3,Hard,3.92,Blue,NA
574,41,3,Hard,1.31,White/Transparent,NA
575,41,3,Hard,2.62,White/Transparent,NA
576,41,3,Hard,1.31,White/Transparent,NA
577,41,3,Hard,1.96,White/Transparent,NA
578,41,3,Hard,1.31,White/Transparent,Polyethylene
579,42,1,Hard,3.03,White/Transparent,NA
580,42,1,Hard,3.03,White/Transparent,NA
