# VesselTripName,NetStation,Replicate,CollectedBy,DateUTC,StartTimeUTC,EndTimeUTC,Duration,NetTypeMeshSizeDimensionsNetMouth,VesselSpeed,VesselDirection,WindSpeed,WindDirection,SeaTemperature,Salinity,Depth,StartLatitude,StartLongitude,EndLatitude,EndLongitude,StartFlowmeter,EndFlowmeter,Flow,HardPlastics,SoftPlastics,PlasticLines,Styrofoam,Pellets,TotalPlastics,DriftingWood,Pumice,Cs
Southern Surveyor/ss2011_t03,11,1,"Julia Reisser, Luana Lins",18.08.11,12:07,12:22,15,Neuston/ 335/ 1.2 x 0.6,3.5,267,7,289,16.7,35.54,4854.2,-35.07215,127.26597,-35.072,127.25033,82486,113906,31420,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,11,2,"Julia Reisser, Luana Lins",18.08.11,12:24,12:39,15,Neuston/ 335/ 1.2 x 0.6,2.8,261,6,301,16.7,35.55,4870,-35.07203,127.23513,-35.07247,127.23505,113906,146934,33028,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,11,3,"Julia Reisser, Luana Lins",18.08.11,12:41,12:56,15,Neuston/ 335/ 1.2 x 0.6,3.5,262,6,309,16.7,35.55,4870,-35.07265,127.23187,-35.07315,127.21882,146934,178744,31810,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,12,1,"Julia Reisser, Luana Lins",19.08.11,15:07,15:22,15,Neuston/ 335/ 1.2 x 0.6,1.4,281,17,41,17.5,35.38,516.1,-34.60373,121.81743,-34.60568,121.81248,178750,188673,9923,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,12,2,"Julia Reisser, Luana Lins",19.08.11,15:24,15:39,15,Neuston/ 335/ 1.2 x 0.6,1.1,285,21,41,17.5,35.39,525.4,-34.60598,121.8119,-34.60789,121.80672,188673,199316,10643,0,1,0,0,0,1,0,1,1603.9612
Southern Surveyor/ss2011_t03,12,3,"Julia Reisser, Blaise Bratter",19.08.11,18:06,18:22,16,Neuston/ 335/ 1.2 x 0.6,1.7,65,21,21,17.5,35.39,568.5,-34.60978,121.79283,-34.61,121.80112,219323,227613,8290,1,0,0,0,0,1,0,3,1099.3165
Southern Surveyor/ss2011_t03,13,1,"Julia Reisser, Blaise Bratter",20.08.11,11:57,12:12,15,Neuston/ 335/ 1.2 x 0.6,0.3,250,14,305,16.6,35.5,1521.8,-35.31488,118.62283,-35.31652,118.61722,319265,348343,29078,1,0,0,0,0,1,0,0,1540.8605
Southern Surveyor/ss2011_t03,13,2,"Julia Reisser, Blaise Bratter",20.08.11,12:14,12:29,15,Neuston/ 335/ 1.2 x 0.6,1,254,11,254,16.6,35.5,1627.8,-35.31675,118.61635,-35.31768,118.6111,348343,377207,28864,0,0,0,0,0,0,0,0,0
Southern Surveyor/ss2011_t03,13,3,"Julia Reisser, Blaise Bratter",20.08.11,12:30,12:46,16,Neuston/ 335/ 1.2 x 0.6,1.4,252,10,245,16.6,35.51,3376.1,-35.31775,118.61052,-35.31885,118.60422,377207,408981,31774,0,0,2,0,0,2,0,0,2852.5784
Southern Surveyor/ss2011_t03,14,1,"Julia Reisser, Blaise Bratter",22.08.11,7:27,7:42,15,Neuston/ 335/ 1.2 x 0.6,3.2,266,16,267,17.5,35.61,605.3,-33.11375,114.49077,-33.11763,114.47118,408979,457207,48228,1,0,1,0,0,2,0,1,889.6285
